,time,consumption,cost,electricity_rate,indoor_temp,outdoor_temp
0,2024-12-05 00:00:00+00:00,0.796,17.35,18.701308177067684,19.942307692307693,9.455384694612944
1,2024-12-05 00:30:00+00:00,0.848,18.48,18.519375165303547,19.958333333333332,9.524166425069174
2,2024-12-05 01:00:00+00:00,0.425,9.26,20.06465995788574,20.0225,9.665199928283691
3,2024-12-05 01:30:00+00:00,0.13,2.83,18.51762517293294,19.877604166666668,9.859166185061136
4,2024-12-05 02:00:00+00:00,0.101,2.2,18.233039779663088,19.815,10.01079948425293
5,2024-12-05 02:30:00+00:00,0.136,2.96,18.28137477238973,19.8125,10.22249952952067
6,2024-12-05 03:00:00+00:00,0.117,2.55,18.20538440117469,19.822115384615383,10.38153890463022
7,2024-12-05 03:30:00+00:00,0.102,2.22,18.3426247437795,19.875,10.52999989191691
8,2024-12-05 04:00:00+00:00,0.081,1.77,18.605999755859376,19.875,10.626800041198731
9,2024-12-05 04:30:00+00:00,0.118,2.57,18.269999663035076,19.921875,10.63208301862081
10,2024-12-05 05:00:00+00:00,0.121,2.64,18.219115037184494,19.9375,10.7746152144212
11,2024-12-05 05:30:00+00:00,0.133,2.9,18.36187465985616,19.9609375,10.932083288828531
12,2024-12-05 06:00:00+00:00,0.091,1.98,18.287639617919922,20.0,11.05399959564209
13,2024-12-05 06:30:00+00:00,0.089,1.94,18.40037473042806,20.0,11.394999941190084
14,2024-12-05 07:00:00+00:00,0.117,2.55,18.275653692392204,20.060096153846153,11.774615141061636
15,2024-12-05 07:30:00+00:00,0.12,2.62,18.203499635060627,20.114583333333332,12.150416533152262
16,2024-12-05 08:00:00+00:00,0.133,2.9,18.27083969116211,20.1425,12.483599853515624
17,2024-12-05 08:30:00+00:00,0.09,1.96,18.344374815622967,20.184895833333332,12.889166156450907
18,2024-12-05 09:00:00+00:00,0.088,1.92,18.90565351339487,20.204326923076923,13.18846108363225
19,2024-12-05 09:30:00+00:00,0.13,2.83,18.201749722162884,20.263020833333332,13.359583338101706
20,2024-12-05 10:00:00+00:00,0.196,4.27,19.67982688316932,20.43028846153846,13.48153840578519
21,2024-12-05 10:30:00+00:00,0.144,3.14,18.225374619166057,20.5625,13.71916651725769
22,2024-12-05 11:00:00+00:00,0.135,2.94,18.401879653930663,20.5625,13.832799682617187
23,2024-12-05 11:30:00+00:00,0.06,1.31,18.657624800999958,20.5859375,13.863749424616495
24,2024-12-05 12:00:00+00:00,0.101,2.2,18.354403569148136,20.615384615384617,14.038461208343506
25,2024-12-05 12:30:00+00:00,0.125,2.72,18.28224976857503,20.611979166666668,14.212499698003134
26,2024-12-05 13:00:00+00:00,0.118,2.57,18.252359619140623,20.6125,14.274399604797363
27,2024-12-05 13:30:00+00:00,0.109,2.38,18.420499960581463,20.5703125,14.208749890327454
28,2024-12-05 14:00:00+00:00,0.078,1.7,18.269999797527607,20.5625,13.910769095787636
29,2024-12-05 14:30:00+00:00,0.104,2.27,18.324687163035076,20.5625,13.852499643961588
30,2024-12-05 15:00:00+00:00,0.123,2.68,18.28595977783203,20.5625,13.789999961853027
31,2024-12-05 15:30:00+00:00,0.127,2.77,18.49004322549571,20.5625,13.701304228409477
32,2024-12-05 16:00:00+00:00,0.099,2.16,20.121937155723572,20.557291666666668,13.551249663035074
33,2024-12-05 16:30:00+00:00,0.088,1.92,16.35418685277303,20.533854166666668,13.376666386922201
34,2024-12-05 17:00:00+00:00,0.1,2.18,16.66517951965332,20.51,13.126799926757812
35,2024-12-05 17:30:00+00:00,0.125,2.72,17.564113096757367,20.5,12.945454597473145
36,2024-12-05 18:00:00+00:00,0.122,2.66,16.596299438476564,20.5,13.010399856567382
37,2024-12-05 18:30:00+00:00,0.109,2.38,16.568124492963154,20.5,13.159999688466387
38,2024-12-05 19:00:00+00:00,0.238,5.19,16.856941810021034,20.5,13.153076905470629
39,2024-12-05 19:30:00+00:00,1.527,33.28,17.358782146288,20.5,13.038695584172787
40,2024-12-05 20:00:00+00:00,0.76,16.57,17.81324973473182,20.483173076923077,12.76346151645367
41,2024-12-05 20:30:00+00:00,0.251,5.47,17.940391001494035,20.4375,11.964782300202742
42,2024-12-05 21:00:00+00:00,0.232,5.06,20.495579566955566,20.4375,11.142399635314941
43,2024-12-05 21:30:00+00:00,0.197,4.29,19.492374579111736,20.427083333333332,10.31833302974701
44,2024-12-05 22:00:00+00:00,0.268,5.84,19.72529956817627,20.4075,9.762000007629394
45,2024-12-05 22:30:00+00:00,0.231,5.03,18.094695557718694,20.429347826086957,9.210434416066045
46,2024-12-05 23:00:00+00:00,0.233,5.08,20.66903953552246,20.3875,9.011999893188477
47,2024-12-05 23:30:00+00:00,0.214,4.66,19.81962474187215,19.377604166666668,8.837082942326864
48,2024-12-06 00:00:00+00:00,0.231,5.03,20.539259872436524,17.8175,8.80199977874756
49,2024-12-06 00:30:00+00:00,0.134,2.92,19.556021234263543,17.5,9.016521495321523
50,2024-12-06 01:00:00+00:00,0.116,2.53,16.840319595336915,16.5925,9.175199813842772
51,2024-12-06 01:30:00+00:00,0.126,2.75,16.358562072118122,16.174479166666668,9.235833247502645
52,2024-12-06 02:00:00+00:00,0.139,3.03,16.29317254286546,15.935096153846153,9.237692319429838
53,2024-12-06 02:30:00+00:00,0.127,2.77,16.534874320030212,15.614583333333334,8.96958335240682
54,2024-12-06 03:00:00+00:00,0.103,2.25,16.43879928588867,15.2975,8.489599800109863
55,2024-12-06 03:30:00+00:00,0.098,2.14,16.587811827659607,15.0234375,8.191666523615519
56,2024-12-06 04:00:00+00:00,0.113,2.46,16.50074925789466,14.80048076923077,7.976153758855967
57,2024-12-06 04:30:00+00:00,0.136,2.96,16.3371243874232,14.552083333333334,7.76624991496404
58,2024-12-06 05:00:00+00:00,0.133,2.9,16.336739273071288,14.3225,7.524799976348877
59,2024-12-06 05:30:00+00:00,0.141,3.07,16.441249291102093,14.104166666666666,7.32916659116745
60,2024-12-06 06:00:00+00:00,0.106,2.31,16.403018474578857,13.923076923076923,7.058076730141273
61,2024-12-06 06:30:00+00:00,0.111,2.42,16.20587436358134,13.690104166666666,6.969166556994121
62,2024-12-06 07:00:00+00:00,0.103,2.25,16.444259376525878,13.485,6.643999938964844
63,2024-12-06 07:30:00+00:00,0.143,3.12,16.3371243874232,13.2734375,6.383749922116597
64,2024-12-06 08:00:00+00:00,0.136,2.96,16.336739273071288,13.155,6.351199951171875
65,2024-12-06 08:30:00+00:00,0.142,3.1,16.352436741193134,13.083333333333334,6.255416611830394
66,2024-12-06 09:00:00+00:00,0.126,2.75,16.538811842600506,12.981770833333334,6.416666587193807
67,2024-12-06 09:30:00+00:00,0.108,2.35,18.291524410247803,13.003125,6.61299991607666
68,2024-12-06 10:00:00+00:00,0.111,2.42,18.162374401092528,13.084375,7.188499879837036
69,2024-12-06 10:30:00+00:00,0.121,2.64,19.274130871421413,13.078947368421053,7.549473536641974
70,2024-12-06 11:00:00+00:00,0.157,3.42,16.53833938598633,13.1775,8.064399948120117
71,2024-12-06 11:30:00+00:00,0.197,4.29,16.46662425994873,14.184895833333334,8.639999985694885
72,2024-12-06 12:00:00+00:00,0.202,4.4,16.389239387512205,15.5325,9.021999893188477
73,2024-12-06 12:30:00+00:00,0.171,3.73,16.40537424882253,16.388020833333332,9.293749729792276
74,2024-12-06 13:00:00+00:00,0.134,2.92,16.32305699128371,16.920673076923077,9.38576918381911
75,2024-12-06 13:30:00+00:00,0.104,2.27,16.453499396642048,17.4921875,9.392499923706055
76,2024-12-06 14:00:00+00:00,0.128,2.79,17.71481200059255,17.7578125,9.416250030199686
77,2024-12-06 14:30:00+00:00,0.125,2.72,16.55937437216441,17.885416666666668,9.30999986330668
78,2024-12-06 15:00:00+00:00,0.122,2.66,16.42409942626953,17.98,9.157599945068359
79,2024-12-06 15:30:00+00:00,0.097,2.11,16.79781190554301,18.052083333333332,8.976249853769938
80,2024-12-06 16:00:00+00:00,0.092,2.01,8.126595835273083,18.11298076923077,8.703846051142765
81,2024-12-06 16:30:00+00:00,0.13,2.83,1.3177499572436016,18.127604166666668,8.528750022252401
82,2024-12-06 17:00:00+00:00,0.124,2.7,2.359979965686798,18.1825,8.371199951171874
83,2024-12-06 17:30:00+00:00,0.136,2.96,1.8650624255339305,18.216145833333332,8.243333339691162
84,2024-12-06 18:00:00+00:00,0.111,2.42,3.261057633620042,18.25721153846154,8.239999991196852
85,2024-12-06 18:30:00+00:00,0.095,2.07,1.6868477593297544,18.3125,8.385217625161875
86,2024-12-06 19:00:00+00:00,0.101,2.2,5.561365205508012,18.36778846153846,8.504615343534029
87,2024-12-06 19:30:00+00:00,0.117,2.55,2.9523259880750077,18.42663043478261,8.613043246061906
88,2024-12-06 20:00:00+00:00,0.133,2.9,1.9332114652945445,18.490384615384617,9.110384647662823
89,2024-12-06 20:30:00+00:00,0.127,2.77,2.936499949544668,18.549479166666668,9.491249640782675
90,2024-12-06 21:00:00+00:00,0.117,2.55,8.285339909791947,18.615,9.254399681091309
91,2024-12-06 21:30:00+00:00,0.102,2.22,9.498847505320674,18.64945652173913,9.2391299786775
92,2024-12-06 22:00:00+00:00,0.089,1.94,14.53073983192444,18.7075,9.318399696350097
93,2024-12-06 22:30:00+00:00,0.119,2.59,7.496999844908714,18.7578125,9.65499989191691
94,2024-12-06 23:00:00+00:00,0.143,3.12,7.628039860725403,18.825,10.487999496459961
95,2024-12-06 23:30:00+00:00,0.236,5.14,15.111325657886008,18.89673913043478,11.073912703472635
96,2024-12-07 00:00:00+00:00,0.209,4.56,7.408961296081544,18.983173076923077,11.561538292811466
97,2024-12-07 00:30:00+00:00,0.207,4.51,2.7448749020695686,19.0625,11.90666643778483
98,2024-12-07 01:00:00+00:00,0.167,3.64,3.6418199408054353,17.8875,12.281199760437012
99,2024-12-07 01:30:00+00:00,0.147,3.2,2.4889374636113644,17.104166666666668,12.454166571299234
100,2024-12-07 02:00:00+00:00,0.152,3.31,1.9147799479961396,16.82,12.219599800109863
101,2024-12-07 02:30:00+00:00,0.141,3.07,1.591624944160382,16.161458333333332,11.930416584014893
102,2024-12-07 03:00:00+00:00,0.109,2.38,2.799865335226059,15.790865384615385,11.577307627751278
103,2024-12-07 03:30:00+00:00,0.094,2.05,1.612187448889017,15.4609375,11.260416388511658
104,2024-12-07 04:00:00+00:00,0.1,2.18,1.5754199516773224,15.235,11.072399673461915
105,2024-12-07 04:30:00+00:00,0.13,2.83,2.2128749353190265,15.018229166666666,10.87416664759318
106,2024-12-07 05:00:00+00:00,0.138,3.01,1.4615191828746061,14.713942307692308,10.516153665689322
107,2024-12-07 05:30:00+00:00,0.127,2.77,2.208195560652277,14.532608695652174,9.986086969790252
108,2024-12-07 06:00:00+00:00,0.097,2.11,1.033038420172838,14.21875,9.675769108992357
109,2024-12-07 06:30:00+00:00,0.107,2.33,0.9769374703367552,13.8828125,9.511249860127768
110,2024-12-07 07:00:00+00:00,0.11,2.4,1.2135576491172497,13.721153846153847,9.220000156989464
111,2024-12-07 07:30:00+00:00,0.135,2.94,1.1921874545514584,13.6328125,9.117499788602194
112,2024-12-07 08:00:00+00:00,0.136,2.96,1.329299955368042,13.525,8.937599830627441
113,2024-12-07 08:30:00+00:00,0.133,2.9,1.6681874580681324,13.3125,8.335833013057709
114,2024-12-07 09:00:00+00:00,0.108,2.35,1.4473845603374333,12.908653846153847,7.418845910292405
115,2024-12-07 09:30:00+00:00,0.101,2.2,1.3408042969910994,12.57336956521739,6.891304202701734
116,2024-12-07 10:00:00+00:00,0.107,2.33,1.318153793995197,12.439903846153847,6.463076774890606
117,2024-12-07 10:30:00+00:00,0.146,3.18,1.556624948978424,12.348958333333334,6.364166557788849
118,2024-12-07 11:00:00+00:00,0.187,4.08,1.3796999549865723,12.69,6.375199947357178
119,2024-12-07 11:30:00+00:00,0.184,4.01,2.044437444458405,14.341145833333334,6.524583180745442
120,2024-12-07 12:00:00+00:00,0.119,2.59,1.4796922550751612,15.14423076923077,6.6338458611414985
121,2024-12-07 12:30:00+00:00,0.135,2.94,2.0575624518096447,15.65625,6.606250007947286
122,2024-12-07 13:00:00+00:00,0.14,3.05,1.6606799256801605,16.0225,6.382399997711182
123,2024-12-07 13:30:00+00:00,0.136,2.96,4.19737500200669,16.302083333333332,6.328333258628845
124,2024-12-07 14:00:00+00:00,0.138,3.01,2.7986537390030346,16.526442307692307,6.3661537904005785
125,2024-12-07 14:30:00+00:00,0.1,2.18,2.255673821853555,16.706521739130434,6.427391197370446
126,2024-12-07 15:00:00+00:00,0.096,2.09,2.0636537831563215,16.858173076923077,6.416922936072717
127,2024-12-07 15:30:00+00:00,0.115,2.51,2.4963749647140503,16.979166666666668,6.452499826749166
128,2024-12-07 16:00:00+00:00,0.13,2.83,6.536039865016937,17.09,6.5591997718811035
129,2024-12-07 16:30:00+00:00,0.135,2.94,9.118374943733215,17.174479166666668,6.714999755223592
130,2024-12-07 17:00:00+00:00,0.122,2.66,8.919346057451689,17.276442307692307,6.736153859358567
131,2024-12-07 17:30:00+00:00,0.094,2.05,9.239124953746796,17.34375,6.787916759649913
132,2024-12-07 18:00:00+00:00,0.106,2.31,8.688960056304932,17.405,6.783200035095215
133,2024-12-07 18:30:00+00:00,0.137,2.99,9.461812436580658,17.4765625,6.868333200613658
134,2024-12-07 19:00:00+00:00,0.14,3.05,8.845619945526122,17.5275,6.825999717712403
135,2024-12-07 19:30:00+00:00,0.139,3.03,8.97050005197525,17.572916666666668,6.851666450500488
136,2024-12-07 20:00:00+00:00,0.123,2.68,8.536920032501222,17.6225,7.069599800109863
137,2024-12-07 20:30:00+00:00,0.098,2.14,8.837500095367432,17.674479166666668,7.280833303928375
138,2024-12-07 21:00:00+00:00,0.096,2.09,9.007788474743183,17.71875,7.3499998312730055
139,2024-12-07 21:30:00+00:00,0.111,2.42,8.502717536428701,17.755434782608695,7.084782517474631
140,2024-12-07 22:00:00+00:00,0.136,2.96,8.92257703267611,17.807692307692307,6.993846068015466
141,2024-12-07 22:30:00+00:00,0.128,2.79,8.720478410306184,17.83695652173913,7.022173653478208
